lineup,stationId,name,channel,callSign,type,affiliateId,affiliateCallSign,bcastLangs,imageUri,imageHeight,imageWidth,imageCategory,signalType,videoType,truResolution
USA-OTA73669,32312,,5.1,KOCODT,,10003,ABC,,https://tmsimg.fancybits.co/assets/s28708_h3_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,99872,,5.1,K21ITD,,10003,ABC,,https://tmsimg.fancybits.co/assets/s28708_h3_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,99873,,5.2,K21ITD2,,70436,METVN,,https://tmsimg.fancybits.co/assets/s70436_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,35682,,9.1,KWTVDT,,10098,CBS,,https://tmsimg.fancybits.co/assets/s28711_h3_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,98090,,9.1,K14MUD,,10098,CBS,,https://tmsimg.fancybits.co/assets/s10098_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,71781,,9.2,KWTVDT2,,Independent,,,sources/generic/generic_sources_h3.png,,,,Digital,HDTV,TruHD Uncooperative
USA-OTA73669,98091,,9.2,K14MUD2,,70248,ANTENNA,,https://tmsimg.fancybits.co/assets/GNLZZGG0028Y4HS.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,43194,,12.1,KWETDT,,11039,PBS,,https://tmsimg.fancybits.co/assets/s32356_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,43196,,12.2,KWETDT2,,11039,PBS,,https://tmsimg.fancybits.co/assets/s11039_h3_ba.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,43198,,12.3,KWETDT3,,48990,CREATE,,https://tmsimg.fancybits.co/assets/s48990_h3_ba.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,43200,,12.4,KWETDT4,,101364,HD06,,https://tmsimg.fancybits.co/assets/s101364_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,43184,,13.1,KETADT,,11039,PBS,,https://tmsimg.fancybits.co/assets/s32356_h3_ba.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,43186,,13.2,KETADT2,,11039,PBS,,https://tmsimg.fancybits.co/assets/s11039_h3_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,43188,,13.3,KETADT3,,48990,CREATE,,https://tmsimg.fancybits.co/assets/s48990_h3_ba.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,43190,,13.4,KETADT4,,101364,HD06,,https://tmsimg.fancybits.co/assets/s101364_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,32786,,34.1,KOCBDT,,Independent,,,https://tmsimg.fancybits.co/assets/s10612_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
USA-OTA73669,70305,,34.2,KOCBDT2,,102116,ROARTV,,https://tmsimg.fancybits.co/assets/s102116_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,97106,,34.3,KOCBDT3,,97051,COMET,,https://tmsimg.fancybits.co/assets/s97051_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,102481,,34.4,KOCBDT4,,112157,DABL,,https://tmsimg.fancybits.co/assets/s112157_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,50530,,43.1,KAUTDT,,51306,CW,,https://tmsimg.fancybits.co/assets/s51306_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,71810,,43.2,KAUTDT2,,119814,REWIND,,https://tmsimg.fancybits.co/assets/s119814_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,98296,,43.3,KAUTDT3,,89923,IMYS,,https://tmsimg.fancybits.co/assets/s89923_ll_h15_ad.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,111103,,43.4,KAUTDT4,,78851,COZITV,,https://tmsimg.fancybits.co/assets/s78851_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,31495,,52.1,KSBIDT,,51307,MNT,,https://tmsimg.fancybits.co/assets/GNLZZGG0028Y3ZQ.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,97852,,52.1,K42ICD,,51307,MNT,,https://tmsimg.fancybits.co/assets/GNLZZGG0028Y3ZQ.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,36073,,52.2,KSBIDT2,,73067,BOUNCE,,https://tmsimg.fancybits.co/assets/s73067_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,110062,,52.3,KSBIDT3,,92091,LAFF,,https://tmsimg.fancybits.co/assets/s92091_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,110063,,52.4,KSBIDT4,,89922,GRIT,,https://tmsimg.fancybits.co/assets/s89922_h3_ba.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,110064,,52.5,KSBIDT5,,55241,IONPLUS,,https://tmsimg.fancybits.co/assets/s55241_ll_h15_ad.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,109454,Start TV Network,,STARTTV,Digital Broadcast Network,,,en,https://tmsimg.fancybits.co/assets/s109454_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
USA-OTA73669,112385,KFOR-DT4,,KFORDT4,Full Power Broadcast,159206,DEFY,en,https://tmsimg.fancybits.co/assets/s159206_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,130162,KTUZ-DT5,,KTUZDT5,Full Power Broadcast,185303,MVSGLD,en,https://tmsimg.fancybits.co/assets/GNLZZGG0026WLX6.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,130163,KTUZ-DT4,,KTUZDT4,Full Power Broadcast,185303,MVSGLD,en,https://tmsimg.fancybits.co/assets/GNLZZGG0026WLX6.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,21301,KFOR-DT,,KFORDT,Full Power Broadcast,10991,NBC,en,https://tmsimg.fancybits.co/assets/s28717_ll_h15_ad.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,32787,KOKH-DT,,KOKHDT,Full Power Broadcast,10212,FOX,en,https://tmsimg.fancybits.co/assets/s28719_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
USA-OTA73669,43749,KFOR-DT2,,KFORDT2,Full Power Broadcast,70248,ANTENNA,en,https://tmsimg.fancybits.co/assets/GNLZZGG0028Y4HS.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,54416,KTUZ-DT,,KTUZDT,Full Power Broadcast,10239,TELE,es,https://tmsimg.fancybits.co/assets/s73245_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
USA-OTA73669,69866,KOKH-DT2,,KOKHDT2,Full Power Broadcast,102148,CHARGE,en,https://tmsimg.fancybits.co/assets/s102148_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,71836,KFOR-DT3,,KFORDT3,Full Power Broadcast,91496,CRIME,en,https://tmsimg.fancybits.co/assets/s91496_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,74694,KOCY-LD,,KOCYLD,Low Power Broadcast,65064,ESTRLLA,es,https://tmsimg.fancybits.co/assets/s65064_h3_ba.png?w=360&h=270,270,360,Logo,Digital,HDTV,
USA-OTA73669,74706,KUOK-CD,,KUOKCD,Low Power Broadcast,11118,UNI,es,https://tmsimg.fancybits.co/assets/s11118_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,
USA-OTA73669,91325,KOKH-DT3,,KOKHDT3,Full Power Broadcast,147367,THENEST,en,https://tmsimg.fancybits.co/assets/s147367_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
USA-OTA73669,98709,KTUZ-DT2,,KTUZDT2,Full Power Broadcast,11069,QVC,en,https://tmsimg.fancybits.co/assets/s11069_ll_h15_ad.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,91035,,1,WINS,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,70436,,77,METVN,,,,,https://tmsimg.fancybits.co/assets/s70436_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,78851,,80,COZITV,,,,,https://tmsimg.fancybits.co/assets/s78851_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,89922,,81,GRIT,,,,,https://tmsimg.fancybits.co/assets/s89922_h3_ba.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,73067,,82,BOUNCE,,,,,https://tmsimg.fancybits.co/assets/s73067_h3_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,
X-M3U,82563,,83,GET,,,,,https://tmsimg.fancybits.co/assets/s82563_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,185303,,86,MVSGLD,,,,,https://tmsimg.fancybits.co/assets/GNLZZGG0026WLX6.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,62894,,87,DT87,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,100082,,92,DT310,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,100304,,96,DT321,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,62094,,98,DT320,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,92534,,100,DTVSS,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,72276,,103,DT104,,,,,sources/generic/generic_sources_h3.png,,,,Digital,HDTV,HD 1080p
X-M3U,99076,,104,DTV4K,,,,,https://tmsimg.fancybits.co/assets/s99076_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,UHDTV,
X-M3U,12785,,105,DITV105,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,100372,,106,DT106,,,,,sources/generic/generic_sources_h3.png,,,,Digital,UHDTV,
X-M3U,12788,,108,DITV108,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12789,,109,DITV109,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12790,,110,DITV110,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12791,,111,DITV111,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12792,,112,DITV112,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22447,,113,DITV113,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22448,,114,DITV114,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12793,,115,DITV115,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12795,,117,DITV117,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12796,,118,DITV118,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12797,,119,DITV119,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12798,,120,DITV120,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12799,,121,DITV121,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22422,,122,DITV122,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31548,,123,DITV123,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31303,,124,DITV124,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12800,,125,DITV125,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31549,,126,DITV126,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31550,,127,DITV127,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22423,,128,DITV128,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31551,,129,DITV129,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22424,,130,DITV130,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12801,,131,DITV131,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12802,,132,DITV132,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44307,,133,DITV133,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22425,,134,DITV134,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22426,,135,DITV135,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31552,,136,DITV136,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,47376,,137,DITV137,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22427,,138,DITV138,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44308,,139,DITV139,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22428,,140,DITV140,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31553,,141,DITV141,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22429,,142,DITV142,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,47218,,143,DITV143,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44696,,144,DITV144,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22430,,145,DITV145,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,47220,,146,DITV146,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,43504,,147,DITV147,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22431,,148,DITV148,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,43505,,149,DITV149,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12803,,150,DITV150,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22432,,151,DITV151,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22433,,152,DITV152,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,59762,,153,DITV153,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,43507,,154,DITV154,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22434,,155,DITV155,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44309,,156,DITV156,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31554,,157,DITV157,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44310,,158,DITV158,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,43508,,159,DITV159,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22435,,160,DITV160,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44311,,161,DITV161,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,43509,,162,DITV162,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44312,,163,DITV163,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,47379,,164,DITV164,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22436,,165,DITV165,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,47222,,166,DITV166,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44313,,167,DITV167,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22437,,168,DITV168,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22756,,169,PPV169,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22438,,170,DITV170,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22439,,171,DITV171,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44314,,172,DITV172,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22760,,173,PPV173,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,32261,,174,DITV174,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,59737,,175,DITV175,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44315,,176,DITV176,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44316,,177,DITV177,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,59005,,178,DITV178,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44317,,179,DITV179,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22442,,180,DITV180,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,59004,,181,DITV181,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22443,,182,DITV182,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22444,,183,DITV183,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,34245,,184,DITV184,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22445,,185,DITV185,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,70544,,186,DITV186,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,45907,,187,DITV187,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44318,,188,DITV188,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,44319,,189,DITV189,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31696,,190,DITV190,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31697,,191,DITV191,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,31973,,192,DITV192,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,60629,,193,DITV193,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,60632,,194,DITV194,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22782,,195,PPV195,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22783,,196,PPV196,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,22784,,197,PPV197,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,34253,,198,DITV198,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,30412,,199,DITV199,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,12782,,200,NEWSMIX,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,26853,,201,LOOR201,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,10142,,202,CNN,,,,,https://tmsimg.fancybits.co/assets/s10142_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,58646,,202,CNNHD,,,,,https://tmsimg.fancybits.co/assets/s58646_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,114483,,203,DTV203,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,10145,,204,HLN,,,,,https://tmsimg.fancybits.co/assets/s10145_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,64549,,204,HLNHD,,,,,https://tmsimg.fancybits.co/assets/s64549_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,10179,,206,ESPN,,,,,https://tmsimg.fancybits.co/assets/s10179_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,32645,,206,ESPNHD,,,,,https://tmsimg.fancybits.co/assets/s32645_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,16485,,207,ESPNEWS,,,,,https://tmsimg.fancybits.co/assets/s16485_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,59976,,207,ESPNWHD,,,,,https://tmsimg.fancybits.co/assets/s59976_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,45654,,208,ESPNU,,,,,https://tmsimg.fancybits.co/assets/s45654_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,60696,,208,ESPNUHD,,,,,https://tmsimg.fancybits.co/assets/s60696_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,12444,,209,ESPN2,,,,,https://tmsimg.fancybits.co/assets/s12444_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,19620,,209,ESPNA,,,,,https://tmsimg.fancybits.co/assets/s10179_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,19621,,209,ESPN2A,,,,,https://tmsimg.fancybits.co/assets/s12444_h3_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,45507,,209,ESPN2HD,,,,,https://tmsimg.fancybits.co/assets/s45507_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,47216,,211,NFLRZ,,,,,https://tmsimg.fancybits.co/assets/s65024_ll_h9_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,65025,,211,NFLNRZD,,,,,https://tmsimg.fancybits.co/assets/s65025_ll_h9_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,34710,,212,NFLNET,,,,,https://tmsimg.fancybits.co/assets/s34710_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
